Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
Preparacion tarjeta venta,Chrome 104.0.5112.102,,,2022-09-15 10:11:44,2022-09-15 10:13:21,"1m - 37,709s",PASSED
,,,,,,,
Test Cases/Preparacion tarjeta venta,Chrome 104.0.5112.102,,,2022-09-15 10:11:45,2022-09-15 10:13:21,"1m - 36,885s",PASSED
"openBrowser(""https://qabanco.civica.com.co/civica/index.aspx"")",Chrome 104.0.5112.102,,,2022-09-15 10:11:46,2022-09-15 10:12:11,"25,293s",PASSED
waitForPageLoad(30),Chrome 104.0.5112.102,,,2022-09-15 10:12:11,2022-09-15 10:12:12,"0,756s",PASSED
maximizeWindow(),Chrome 104.0.5112.102,,,2022-09-15 10:12:12,2022-09-15 10:12:12,"0,194s",PASSED
"focus(findTestObject(""Inicio de sesion - Cívica Calidad/Inicio de sesion_Civica Calidad/input_Cdula usuario_txtLogin""))",Chrome 104.0.5112.102,,,2022-09-15 10:12:12,2022-09-15 10:12:13,"0,856s",PASSED
"setText(findTestObject(""Inicio de sesion - Cívica Calidad/Inicio de sesion_Civica Calidad/input_Cdula usuario_txtLogin""), findTestData(""Usuarios/Usuarios login"").getValue(1, 1))",Chrome 104.0.5112.102,,,2022-09-15 10:12:13,2022-09-15 10:12:17,"3,810s",PASSED
"focus(findTestObject(""Inicio de sesion - Cívica Calidad/Inicio de sesion_Civica Calidad/input_Contrasea_txtSena""))",Chrome 104.0.5112.102,,,2022-09-15 10:12:17,2022-09-15 10:12:17,"0,603s",PASSED
"setText(findTestObject(""Inicio de sesion - Cívica Calidad/Inicio de sesion_Civica Calidad/input_Contrasea_txtSena""), findTestData(""Usuarios/Usuarios login"").getValue(2, 1))",Chrome 104.0.5112.102,,,2022-09-15 10:12:17,2022-09-15 10:12:18,"0,959s",PASSED
"click(findTestObject(""Inicio de sesion - Cívica Calidad/Inicio de sesion_Civica Calidad/input_Contrasea_btnOk""))",Chrome 104.0.5112.102,,,2022-09-15 10:12:18,2022-09-15 10:12:26,"7,428s",PASSED
waitForPageLoad(30),Chrome 104.0.5112.102,,,2022-09-15 10:12:26,2022-09-15 10:12:26,"0,039s",PASSED
