Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
Ajuste Credito,Chrome 105.0.0.0,,,2022-09-22 15:48:31,2022-09-22 15:52:43,"4m - 12,621s",PASSED
,,,,,,,
Test Cases/Ajuste credito - 10000,Chrome 105.0.0.0,,,2022-09-22 15:48:31,2022-09-22 15:50:05,"1m - 33,475s",PASSED
"openBrowser(""https://qabanco.civica.com.co/civica/index.aspx"")",Chrome 105.0.0.0,,,2022-09-22 15:48:33,2022-09-22 15:48:58,"25,544s",PASSED
waitForPageLoad(30),Chrome 105.0.0.0,,,2022-09-22 15:48:58,2022-09-22 15:48:59,"0,801s",PASSED
maximizeWindow(),Chrome 105.0.0.0,,,2022-09-22 15:48:59,2022-09-22 15:48:59,"0,249s",PASSED
"focus(findTestObject(""Inicio de sesion - Cívica Calidad/Inicio de sesion_Civica Calidad/input_Cdula usuario_txtLogin""))",Chrome 105.0.0.0,,,2022-09-22 15:48:59,2022-09-22 15:49:00,"0,989s",PASSED
"setText(findTestObject(""Inicio de sesion - Cívica Calidad/Inicio de sesion_Civica Calidad/input_Cdula usuario_txtLogin""), findTestData(""Usuarios/Usuarios login"").getValue(1, 1))",Chrome 105.0.0.0,,,2022-09-22 15:49:00,2022-09-22 15:49:09,"8,706s",PASSED
"focus(findTestObject(""Inicio de sesion - Cívica Calidad/Inicio de sesion_Civica Calidad/input_Contrasea_txtSena""))",Chrome 105.0.0.0,,,2022-09-22 15:49:09,2022-09-22 15:49:10,"0,636s",PASSED
"setText(findTestObject(""Inicio de sesion - Cívica Calidad/Inicio de sesion_Civica Calidad/input_Contrasea_txtSena""), findTestData(""Usuarios/Usuarios login"").getValue(2, 1))",Chrome 105.0.0.0,,,2022-09-22 15:49:10,2022-09-22 15:49:11,"0,957s",PASSED
"click(findTestObject(""Inicio de sesion - Cívica Calidad/Inicio de sesion_Civica Calidad/input_Contrasea_btnOk""))",Chrome 105.0.0.0,,,2022-09-22 15:49:11,2022-09-22 15:49:17,"6,769s",PASSED
waitForPageLoad(30),Chrome 105.0.0.0,,,2022-09-22 15:49:17,2022-09-22 15:49:17,"0,071s",PASSED
"click(findTestObject(""Pagina inicial/Page_Metro de Medelln - Sea bienvenido/em_Adquisicin_bv""))",Chrome 105.0.0.0,,,2022-09-22 15:49:17,2022-09-22 15:49:18,"0,840s",PASSED
waitForPageLoad(30),Chrome 105.0.0.0,,,2022-09-22 15:49:18,2022-09-22 15:49:18,"0,045s",PASSED
"click(findTestObject(""Consulta y ajuste de saldo/Page_Metro de Medellin -  Adquisicin/a_Punto de Venta_adq""))",Chrome 105.0.0.0,,,2022-09-22 15:49:18,2022-09-22 15:49:19,"1,113s",PASSED
waitForPageLoad(30),Chrome 105.0.0.0,,,2022-09-22 15:49:19,2022-09-22 15:49:19,"0,034s",PASSED
"click(findTestObject(""Consulta y ajuste de saldo/Page_Metro de Medelln - Adquisicin - Punto de Venta -  Ajuste de Carga/a_Ajuste de Carga_pdva""))",Chrome 105.0.0.0,,,2022-09-22 15:49:19,2022-09-22 15:49:21,"1,776s",PASSED
