Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
Preparacion tarjeta venta,Chrome 104.0.5112.102,,,2022-09-15 10:18:07,2022-09-15 10:19:34,"1m - 26,955s",PASSED
,,,,,,,
Test Cases/Preparacion tarjeta venta,Chrome 104.0.5112.102,,,2022-09-15 10:18:08,2022-09-15 10:19:34,"1m - 26,104s",PASSED
"openBrowser(""https://qabanco.civica.com.co/civica/index.aspx"")",Chrome 104.0.5112.102,,,2022-09-15 10:18:09,2022-09-15 10:18:23,"14,083s",PASSED
waitForPageLoad(30),Chrome 104.0.5112.102,,,2022-09-15 10:18:23,2022-09-15 10:18:24,"0,698s",PASSED
maximizeWindow(),Chrome 104.0.5112.102,,,2022-09-15 10:18:24,2022-09-15 10:18:24,"0,205s",PASSED
"focus(findTestObject(""Inicio de sesion - Cívica Calidad/Inicio de sesion_Civica Calidad/input_Cdula usuario_txtLogin""))",Chrome 104.0.5112.102,,,2022-09-15 10:18:24,2022-09-15 10:18:25,"0,748s",PASSED
"setText(findTestObject(""Inicio de sesion - Cívica Calidad/Inicio de sesion_Civica Calidad/input_Cdula usuario_txtLogin""), findTestData(""Usuarios/Usuarios login"").getValue(1, 1))",Chrome 104.0.5112.102,,,2022-09-15 10:18:25,2022-09-15 10:18:30,"4,448s",PASSED
"focus(findTestObject(""Inicio de sesion - Cívica Calidad/Inicio de sesion_Civica Calidad/input_Contrasea_txtSena""))",Chrome 104.0.5112.102,,,2022-09-15 10:18:30,2022-09-15 10:18:30,"0,763s",PASSED
"setText(findTestObject(""Inicio de sesion - Cívica Calidad/Inicio de sesion_Civica Calidad/input_Contrasea_txtSena""), findTestData(""Usuarios/Usuarios login"").getValue(2, 1))",Chrome 104.0.5112.102,,,2022-09-15 10:18:30,2022-09-15 10:18:31,"0,942s",PASSED
"click(findTestObject(""Inicio de sesion - Cívica Calidad/Inicio de sesion_Civica Calidad/input_Contrasea_btnOk""))",Chrome 104.0.5112.102,,,2022-09-15 10:18:31,2022-09-15 10:18:38,"7,129s",PASSED
waitForPageLoad(30),Chrome 104.0.5112.102,,,2022-09-15 10:18:38,2022-09-15 10:18:38,"0,071s",PASSED
"click(findTestObject(""Pagina inicial/Page_Metro de Medelln - Sea bienvenido/em_Atencin_bv""))",Chrome 104.0.5112.102,,,2022-09-15 10:18:38,2022-09-15 10:18:40,"1,227s",PASSED
waitForPageLoad(30),Chrome 104.0.5112.102,,,2022-09-15 10:18:40,2022-09-15 10:18:40,"0,029s",PASSED
"click(findTestObject(""Consulta y ajuste de saldo/Page_Metro de Medelln -  Atencin/a_Consultas_at""))",Chrome 104.0.5112.102,,,2022-09-15 10:18:40,2022-09-15 10:18:41,"1,327s",PASSED
waitForPageLoad(30),Chrome 104.0.5112.102,,,2022-09-15 10:18:41,2022-09-15 10:18:41,"0,036s",PASSED
"click(findTestObject(""Consulta y ajuste de saldo/Page_Metro de Medelln - Atencin -  Consultas/a_Extracto PN_atc""))",Chrome 104.0.5112.102,,,2022-09-15 10:18:41,2022-09-15 10:18:43,"2,106s",PASSED
"focus(findTestObject(""Consulta y ajuste de saldo/Page_Metro de Medelln - Atencin - ConsExtraUsuPersNat/input__ctl00ContentPlaceHolder1txtTarjeta_atcex""))",Chrome 104.0.5112.102,,,2022-09-15 10:18:43,2022-09-15 10:18:44,"0,564s",PASSED
"setText(findTestObject(""Consulta y ajuste de saldo/Page_Metro de Medelln - Atencin - ConsExtraUsuPersNat/input__ctl00ContentPlaceHolder1txtTarjeta_atcex""), ""3456920"")",Chrome 104.0.5112.102,,,2022-09-15 10:18:44,2022-09-15 10:18:45,"0,867s",PASSED
