Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
Preparacion tarjeta venta,Chrome 104.0.5112.102,,,2022-09-15 14:57:11,2022-09-15 15:00:37,"3m - 26,415s",FAILED
,,,,,,,
Test Cases/Preparacion tarjeta venta,Chrome 104.0.5112.102,,,2022-09-15 14:59:46,2022-09-15 15:00:37,"51,072s",FAILED
"openBrowser(""https://qabanco.civica.com.co/civica/index.aspx"")",Chrome 104.0.5112.102,,,2022-09-15 14:59:46,2022-09-15 14:59:58,"12,225s",PASSED
waitForPageLoad(30),Chrome 104.0.5112.102,,,2022-09-15 14:59:58,2022-09-15 14:59:58,"0,039s",PASSED
maximizeWindow(),Chrome 104.0.5112.102,,,2022-09-15 14:59:58,2022-09-15 14:59:59,"0,292s",PASSED
"focus(findTestObject(""Inicio de sesion - Cívica Calidad/Inicio de sesion_Civica Calidad/input_Cdula usuario_txtLogin""))",Chrome 104.0.5112.102,,,2022-09-15 14:59:59,2022-09-15 14:59:59,"0,537s",PASSED
"setText(findTestObject(""Inicio de sesion - Cívica Calidad/Inicio de sesion_Civica Calidad/input_Cdula usuario_txtLogin""), findTestData(""Usuarios/Usuarios login"").getValue(1, 1))",Chrome 104.0.5112.102,,,2022-09-15 14:59:59,2022-09-15 15:00:00,"0,991s",PASSED
"focus(findTestObject(""Inicio de sesion - Cívica Calidad/Inicio de sesion_Civica Calidad/input_Contrasea_txtSena""))",Chrome 104.0.5112.102,,,2022-09-15 15:00:00,2022-09-15 15:00:01,"0,554s",PASSED
"setText(findTestObject(""Inicio de sesion - Cívica Calidad/Inicio de sesion_Civica Calidad/input_Contrasea_txtSena""), findTestData(""Usuarios/Usuarios login"").getValue(2, 1))",Chrome 104.0.5112.102,,,2022-09-15 15:00:01,2022-09-15 15:00:02,"0,960s",PASSED
"click(findTestObject(""Inicio de sesion - Cívica Calidad/Inicio de sesion_Civica Calidad/input_Contrasea_btnOk""))",Chrome 104.0.5112.102,,,2022-09-15 15:00:02,2022-09-15 15:00:08,"5,900s",PASSED
waitForPageLoad(30),Chrome 104.0.5112.102,,,2022-09-15 15:00:08,2022-09-15 15:00:08,"0,027s",PASSED
