Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
Preparacion tarjeta venta,Firefox 102.0,,,2022-09-08 16:36:23,2022-09-08 16:38:47,"2m - 24,319s",PASSED
,,,,,,,
Test Cases/Preparacion tarjeta venta,Firefox 102.0,,,2022-09-08 16:36:23,2022-09-08 16:38:47,"2m - 23,471s",PASSED
"openBrowser(""https://qabanco.civica.com.co/civica/index.aspx"")",Firefox 102.0,,,2022-09-08 16:36:25,2022-09-08 16:37:02,"37,101s",PASSED
waitForPageLoad(30),Firefox 102.0,,,2022-09-08 16:37:02,2022-09-08 16:37:03,"1,272s",PASSED
maximizeWindow(),Firefox 102.0,,,2022-09-08 16:37:03,2022-09-08 16:37:03,"0,081s",PASSED
"focus(findTestObject(""Inicio de sesion - Cívica Calidad/Inicio de sesion_Civica Calidad/input_Cdula usuario_txtLogin""))",Firefox 102.0,,,2022-09-08 16:37:03,2022-09-08 16:37:04,"0,800s",PASSED
"setText(findTestObject(""Inicio de sesion - Cívica Calidad/Inicio de sesion_Civica Calidad/input_Cdula usuario_txtLogin""), findTestData(""Usuarios/Usuarios login"").getValue(1, 1))",Firefox 102.0,,,2022-09-08 16:37:04,2022-09-08 16:37:08,"3,625s",PASSED
"focus(findTestObject(""Inicio de sesion - Cívica Calidad/Inicio de sesion_Civica Calidad/input_Contrasea_txtSena""))",Firefox 102.0,,,2022-09-08 16:37:08,2022-09-08 16:37:08,"0,728s",PASSED
"setText(findTestObject(""Inicio de sesion - Cívica Calidad/Inicio de sesion_Civica Calidad/input_Contrasea_txtSena""), findTestData(""Usuarios/Usuarios login"").getValue(2, 1))",Firefox 102.0,,,2022-09-08 16:37:08,2022-09-08 16:37:09,"0,859s",PASSED
"click(findTestObject(""Inicio de sesion - Cívica Calidad/Inicio de sesion_Civica Calidad/input_Contrasea_btnOk""))",Firefox 102.0,,,2022-09-08 16:37:09,2022-09-08 16:37:15,"5,534s",PASSED
waitForPageLoad(30),Firefox 102.0,,,2022-09-08 16:37:15,2022-09-08 16:37:15,"0,046s",PASSED
"click(findTestObject(""Pagina inicial/Page_Metro de Medelln - Sea bienvenido/em_Atencin_bv""))",Firefox 102.0,,,2022-09-08 16:37:15,2022-09-08 16:37:16,"0,894s",PASSED
waitForPageLoad(30),Firefox 102.0,,,2022-09-08 16:37:16,2022-09-08 16:37:16,"0,032s",PASSED
"click(findTestObject(""Consulta y ajuste de saldo/Page_Metro de Medelln -  Atencin/a_Consultas_at""))",Firefox 102.0,,,2022-09-08 16:37:16,2022-09-08 16:37:17,"0,988s",PASSED
waitForPageLoad(30),Firefox 102.0,,,2022-09-08 16:37:17,2022-09-08 16:37:17,"0,040s",PASSED
"click(findTestObject(""Consulta y ajuste de saldo/Page_Metro de Medelln - Atencin -  Consultas/a_Extracto PN_atc""))",Firefox 102.0,,,2022-09-08 16:37:17,2022-09-08 16:37:19,"1,749s",PASSED
"focus(findTestObject(""Consulta y ajuste de saldo/Page_Metro de Medelln - Atencin - ConsExtraUsuPersNat/input__ctl00ContentPlaceHolder1txtTarjeta_atcex""))",Firefox 102.0,,,2022-09-08 16:37:19,2022-09-08 16:37:19,"0,492s",PASSED
"setText(findTestObject(""Consulta y ajuste de saldo/Page_Metro de Medelln - Atencin - ConsExtraUsuPersNat/input__ctl00ContentPlaceHolder1txtTarjeta_atcex""), ""8516018"")",Firefox 102.0,,,2022-09-08 16:37:19,2022-09-08 16:37:20,"0,808s",PASSED
"click(findTestObject(""Consulta y ajuste de saldo/Page_Metro de Medelln - Atencin - ConsExtraUsuPersNat/input__ctl00ContentPlaceHolder1btnBuscar_atcex""))",Firefox 102.0,,,2022-09-08 16:37:20,2022-09-08 16:37:22,"1,894s",PASSED
waitForPageLoad(30),Firefox 102.0,,,2022-09-08 16:37:22,2022-09-08 16:37:22,"0,041s",PASSED
"click(findTestObject(""Consulta y ajuste de saldo/Page_Metro de Medelln - Usuarios - ConsExtrUsuPerNatDeta/input__ctl00ContentPlaceHolder1btnBuscar_atcexd""))",Firefox 102.0,,,2022-09-08 16:37:22,2022-09-08 16:37:24,"2,387s",PASSED
waitForPageLoad(30),Firefox 102.0,,,2022-09-08 16:37:24,2022-09-08 16:37:24,"0,042s",PASSED
"saldodebito = getText(findTestObject(""Consulta y ajuste de saldo/Page_Metro de Medelln - Usuarios - ConsExtrUsuPerNatDeta/span_1.009.010.785_atcexd""), STOP_ON_FAILURE)",Firefox 102.0,,,2022-09-08 16:37:24,2022-09-08 16:37:25,"0,732s",PASSED
"click(findTestObject(""Consulta y ajuste de saldo/Page_Metro de Medelln - Usuarios - ConsExtrUsuPerNatDeta/em_Adquisicin_atcexd""))",Firefox 102.0,,,2022-09-08 16:37:25,2022-09-08 16:37:26,"0,743s",PASSED
waitForPageLoad(30),Firefox 102.0,,,2022-09-08 16:37:26,2022-09-08 16:37:26,"0,034s",PASSED
"click(findTestObject(""Consulta y ajuste de saldo/Page_Metro de Medellin -  Adquisicin/a_Punto de Venta_adq""))",Firefox 102.0,,,2022-09-08 16:37:26,2022-09-08 16:37:26,"0,713s",PASSED
waitForPageLoad(30),Firefox 102.0,,,2022-09-08 16:37:26,2022-09-08 16:37:27,"0,037s",PASSED
"click(findTestObject(""Consulta y ajuste de saldo/Page_Metro de Medelln - Adquisicin - Punto de Venta -  Ajuste de Carga/a_Ajuste de Carga_pdva""))",Firefox 102.0,,,2022-09-08 16:37:27,2022-09-08 16:37:28,"1,572s",PASSED
waitForPageLoad(30),Firefox 102.0,,,2022-09-08 16:37:28,2022-09-08 16:37:28,"0,032s",PASSED
"click(findTestObject(""Consulta y ajuste de saldo/Page_Metro de Medelln - Adquisicin - Punto de Venta -  Ajuste de Carga/a_Nuevo Registro_pdva""))",Firefox 102.0,,,2022-09-08 16:37:28,2022-09-08 16:37:30,"1,979s",PASSED
waitForPageLoad(30),Firefox 102.0,,,2022-09-08 16:37:30,2022-09-08 16:37:30,"0,059s",PASSED
"click(findTestObject(""Consulta y ajuste de saldo/Page_Metro de Medelln - Adquisicion - Punto de Venta -  Ajuste de Carga/input_Apellidos_ctl00ContentPlaceHolder1btnBuscarUsu_pdvab""))",Firefox 102.0,,,2022-09-08 16:37:30,2022-09-08 16:37:33,"2,513s",PASSED
waitForPageLoad(30),Firefox 102.0,,,2022-09-08 16:37:33,2022-09-08 16:37:33,"0,034s",PASSED
"switchToWindowUrl(""https://qabanco.civica.com.co/Civica/Usuarios/Registros/frmUsuariosPNTarjetaPopup.aspx?nombre=&cedula=&tarjeta="")",Firefox 102.0,,,2022-09-08 16:37:33,2022-09-08 16:37:33,"0,153s",PASSED
"focus(findTestObject(""Consulta y ajuste de saldo/Page_Metro Medelln -  ConsulPN/input_Nm. Tarjeta_txtNumeroTarjeta_cpn""))",Firefox 102.0,,,2022-09-08 16:37:33,2022-09-08 16:37:33,"0,579s",PASSED
"setText(findTestObject(""Consulta y ajuste de saldo/Page_Metro Medelln -  ConsulPN/input_Nm. Tarjeta_txtNumeroTarjeta_cpn""), ""8516018"")",Firefox 102.0,,,2022-09-08 16:37:33,2022-09-08 16:37:34,"0,888s",PASSED
"click(findTestObject(""Consulta y ajuste de saldo/Page_Metro Medelln -  ConsulPN/input_REGISTRO BLOQUEADO_btnBuscar_cpn""))",Firefox 102.0,,,2022-09-08 16:37:34,2022-09-08 16:37:35,"0,982s",PASSED
"click(findTestObject(""Consulta y ajuste de saldo/Page_Metro Medelln -  ConsulPN/img_cpn""))",Firefox 102.0,,,2022-09-08 16:37:35,2022-09-08 16:37:36,"0,635s",PASSED
"switchToWindowUrl(""https://qabanco.civica.com.co/Civica/Adquisicion/PuntodeVenta/frmAjusteCargaDet.aspx"")",Firefox 102.0,,,2022-09-08 16:37:36,2022-09-08 16:37:36,"0,064s",PASSED
"focus(findTestObject(""Consulta y ajuste de saldo/Page_Metro de Medelln - Adquisicion - Punto de Venta -  Ajuste de Carga/input_Valor_ctl00ContentPlaceHolder1txtValor_pdvab""))",Firefox 102.0,,,2022-09-08 16:37:36,2022-09-08 16:37:37,"0,538s",PASSED
"setText(findTestObject(""Consulta y ajuste de saldo/Page_Metro de Medelln - Adquisicion - Punto de Venta -  Ajuste de Carga/input_Valor_ctl00ContentPlaceHolder1txtValor_pdvab""), saldodebito)",Firefox 102.0,,,2022-09-08 16:37:37,2022-09-08 16:37:37,"0,796s",PASSED
"click(findTestObject(""Consulta y ajuste de saldo/Page_Metro de Medelln - Adquisicion - Punto de Venta -  Ajuste de Carga/select_- Seleccione - Motivo_pdvab""))",Firefox 102.0,,,2022-09-08 16:37:37,2022-09-08 16:37:38,"0,748s",PASSED
