Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
Preparacion tarjeta venta,Chrome 105.0.0.0,,,2022-09-22 11:25:36,2022-09-22 11:27:21,"1m - 45,430s",PASSED
,,,,,,,
Test Cases/Preparacion tarjeta venta,Chrome 105.0.0.0,,,2022-09-22 11:25:36,2022-09-22 11:27:21,"1m - 44,666s",PASSED
"openBrowser(""https://qabanco.civica.com.co/civica/index.aspx"")",Chrome 105.0.0.0,,,2022-09-22 11:25:37,2022-09-22 11:26:05,"27,366s",PASSED
waitForPageLoad(30),Chrome 105.0.0.0,,,2022-09-22 11:26:05,2022-09-22 11:26:06,"0,764s",PASSED
maximizeWindow(),Chrome 105.0.0.0,,,2022-09-22 11:26:06,2022-09-22 11:26:06,"0,220s",PASSED
"focus(findTestObject(""Inicio de sesion - Cívica Calidad/Inicio de sesion_Civica Calidad/input_Cdula usuario_txtLogin""))",Chrome 105.0.0.0,,,2022-09-22 11:26:06,2022-09-22 11:26:07,"0,757s",PASSED
"setText(findTestObject(""Inicio de sesion - Cívica Calidad/Inicio de sesion_Civica Calidad/input_Cdula usuario_txtLogin""), findTestData(""Usuarios/Usuarios login"").getValue(1, 1))",Chrome 105.0.0.0,,,2022-09-22 11:26:07,2022-09-22 11:26:10,"3,692s",PASSED
"focus(findTestObject(""Inicio de sesion - Cívica Calidad/Inicio de sesion_Civica Calidad/input_Contrasea_txtSena""))",Chrome 105.0.0.0,,,2022-09-22 11:26:10,2022-09-22 11:26:11,"0,545s",PASSED
"setText(findTestObject(""Inicio de sesion - Cívica Calidad/Inicio de sesion_Civica Calidad/input_Contrasea_txtSena""), findTestData(""Usuarios/Usuarios login"").getValue(2, 1))",Chrome 105.0.0.0,,,2022-09-22 11:26:11,2022-09-22 11:26:12,"0,990s",PASSED
"click(findTestObject(""Inicio de sesion - Cívica Calidad/Inicio de sesion_Civica Calidad/input_Contrasea_btnOk""))",Chrome 105.0.0.0,,,2022-09-22 11:26:12,2022-09-22 11:26:18,"6,607s",PASSED
waitForPageLoad(30),Chrome 105.0.0.0,,,2022-09-22 11:26:18,2022-09-22 11:26:18,"0,055s",PASSED
"click(findTestObject(""Pagina inicial/Page_Metro de Medelln - Sea bienvenido/em_Atencin_bv""))",Chrome 105.0.0.0,,,2022-09-22 11:26:18,2022-09-22 11:26:19,"0,867s",PASSED
waitForPageLoad(30),Chrome 105.0.0.0,,,2022-09-22 11:26:19,2022-09-22 11:26:19,"0,042s",PASSED
"click(findTestObject(""Consulta y ajuste de saldo/Page_Metro de Medelln -  Atencin/a_Consultas_at""))",Chrome 105.0.0.0,,,2022-09-22 11:26:19,2022-09-22 11:26:21,"1,355s",PASSED
waitForPageLoad(30),Chrome 105.0.0.0,,,2022-09-22 11:26:21,2022-09-22 11:26:21,"0,051s",PASSED
"click(findTestObject(""Consulta y ajuste de saldo/Page_Metro de Medelln - Atencin -  Consultas/a_Extracto PN_atc""))",Chrome 105.0.0.0,,,2022-09-22 11:26:21,2022-09-22 11:26:23,"2,312s",PASSED
"focus(findTestObject(""Consulta y ajuste de saldo/Page_Metro de Medelln - Atencin - ConsExtraUsuPersNat/input__ctl00ContentPlaceHolder1txtTarjeta_atcex""))",Chrome 105.0.0.0,,,2022-09-22 11:26:23,2022-09-22 11:26:24,"0,660s",PASSED
"setText(findTestObject(""Consulta y ajuste de saldo/Page_Metro de Medelln - Atencin - ConsExtraUsuPersNat/input__ctl00ContentPlaceHolder1txtTarjeta_atcex""), ""1267161"")",Chrome 105.0.0.0,,,2022-09-22 11:26:24,2022-09-22 11:26:25,"0,861s",PASSED
"click(findTestObject(""Consulta y ajuste de saldo/Page_Metro de Medelln - Atencin - ConsExtraUsuPersNat/input__ctl00ContentPlaceHolder1btnBuscar_atcex""))",Chrome 105.0.0.0,,,2022-09-22 11:26:25,2022-09-22 11:26:29,"4,813s",PASSED
waitForPageLoad(30),Chrome 105.0.0.0,,,2022-09-22 11:26:29,2022-09-22 11:26:29,"0,029s",PASSED
"click(findTestObject(""Consulta y ajuste de saldo/Page_Metro de Medelln - Usuarios - ConsExtrUsuPerNatDeta/input__ctl00ContentPlaceHolder1btnBuscar_atcexd""))",Chrome 105.0.0.0,,,2022-09-22 11:26:29,2022-09-22 11:26:36,"6,890s",PASSED
waitForPageLoad(30),Chrome 105.0.0.0,,,2022-09-22 11:26:36,2022-09-22 11:26:36,"0,035s",PASSED
"saldodebito = getText(findTestObject(""Consulta y ajuste de saldo/Page_Metro de Medelln - Usuarios - ConsExtrUsuPerNatDeta/span_1.009.010.785_atcexd""), STOP_ON_FAILURE)",Chrome 105.0.0.0,,,2022-09-22 11:26:36,2022-09-22 11:26:37,"0,711s",PASSED
"click(findTestObject(""Consulta y ajuste de saldo/Page_Metro de Medelln - Usuarios - ConsExtrUsuPerNatDeta/em_Adquisicin_atcexd""))",Chrome 105.0.0.0,,,2022-09-22 11:26:37,2022-09-22 11:26:38,"0,804s",PASSED
waitForPageLoad(30),Chrome 105.0.0.0,,,2022-09-22 11:26:38,2022-09-22 11:26:38,"0,046s",PASSED
"click(findTestObject(""Consulta y ajuste de saldo/Page_Metro de Medellin -  Adquisicin/a_Punto de Venta_adq""))",Chrome 105.0.0.0,,,2022-09-22 11:26:38,2022-09-22 11:26:39,"0,744s",PASSED
waitForPageLoad(30),Chrome 105.0.0.0,,,2022-09-22 11:26:39,2022-09-22 11:26:39,"0,041s",PASSED
"click(findTestObject(""Consulta y ajuste de saldo/Page_Metro de Medelln - Adquisicin - Punto de Venta -  Ajuste de Carga/a_Ajuste de Carga_pdva""))",Chrome 105.0.0.0,,,2022-09-22 11:26:39,2022-09-22 11:26:40,"1,745s",PASSED
waitForPageLoad(30),Chrome 105.0.0.0,,,2022-09-22 11:26:40,2022-09-22 11:26:41,"0,035s",PASSED
"click(findTestObject(""Consulta y ajuste de saldo/Page_Metro de Medelln - Adquisicin - Punto de Venta -  Ajuste de Carga/a_Nuevo Registro_pdva""))",Chrome 105.0.0.0,,,2022-09-22 11:26:41,2022-09-22 11:26:43,"2,156s",PASSED
waitForPageLoad(30),Chrome 105.0.0.0,,,2022-09-22 11:26:43,2022-09-22 11:26:43,"0,038s",PASSED
"click(findTestObject(""Consulta y ajuste de saldo/Page_Metro de Medelln - Adquisicion - Punto de Venta -  Ajuste de Carga/input_Apellidos_ctl00ContentPlaceHolder1btnBuscarUsu_pdvab""))",Chrome 105.0.0.0,,,2022-09-22 11:26:43,2022-09-22 11:26:45,"2,508s",PASSED
waitForPageLoad(30),Chrome 105.0.0.0,,,2022-09-22 11:26:45,2022-09-22 11:26:45,"0,076s",PASSED
"switchToWindowUrl(""https://qabanco.civica.com.co/Civica/Usuarios/Registros/frmUsuariosPNTarjetaPopup.aspx?nombre=&cedula=&tarjeta="")",Chrome 105.0.0.0,,,2022-09-22 11:26:45,2022-09-22 11:26:46,"0,282s",PASSED
"focus(findTestObject(""Consulta y ajuste de saldo/Page_Metro Medelln -  ConsulPN/input_Nm. Tarjeta_txtNumeroTarjeta_cpn""))",Chrome 105.0.0.0,,,2022-09-22 11:26:46,2022-09-22 11:26:46,"0,586s",PASSED
"setText(findTestObject(""Consulta y ajuste de saldo/Page_Metro Medelln -  ConsulPN/input_Nm. Tarjeta_txtNumeroTarjeta_cpn""), ""1267161"")",Chrome 105.0.0.0,,,2022-09-22 11:26:46,2022-09-22 11:26:47,"1,004s",PASSED
"click(findTestObject(""Consulta y ajuste de saldo/Page_Metro Medelln -  ConsulPN/input_REGISTRO BLOQUEADO_btnBuscar_cpn""))",Chrome 105.0.0.0,,,2022-09-22 11:26:47,2022-09-22 11:26:49,"1,380s",PASSED
"click(findTestObject(""Consulta y ajuste de saldo/Page_Metro Medelln -  ConsulPN/img_cpn""))",Chrome 105.0.0.0,,,2022-09-22 11:26:49,2022-09-22 11:26:49,"0,550s",PASSED
"switchToWindowUrl(""https://qabanco.civica.com.co/Civica/Adquisicion/PuntodeVenta/frmAjusteCargaDet.aspx"")",Chrome 105.0.0.0,,,2022-09-22 11:26:49,2022-09-22 11:26:49,"0,091s",PASSED
"focus(findTestObject(""Consulta y ajuste de saldo/Page_Metro de Medelln - Adquisicion - Punto de Venta -  Ajuste de Carga/input_Valor_ctl00ContentPlaceHolder1txtValor_pdvab""))",Chrome 105.0.0.0,,,2022-09-22 11:26:49,2022-09-22 11:26:50,"0,611s",PASSED
"setText(findTestObject(""Consulta y ajuste de saldo/Page_Metro de Medelln - Adquisicion - Punto de Venta -  Ajuste de Carga/input_Valor_ctl00ContentPlaceHolder1txtValor_pdvab""), saldodebito)",Chrome 105.0.0.0,,,2022-09-22 11:26:50,2022-09-22 11:26:53,"3,143s",PASSED
"click(findTestObject(""Consulta y ajuste de saldo/Page_Metro de Medelln - Adquisicion - Punto de Venta -  Ajuste de Carga/select_- Seleccione - Motivo_pdvab""))",Chrome 105.0.0.0,,,2022-09-22 11:26:53,2022-09-22 11:26:54,"0,663s",PASSED
"sendKeys(findTestObject(""Consulta y ajuste de saldo/Page_Metro de Medelln - Adquisicion - Punto de Venta -  Ajuste de Carga/select_- Seleccione - Motivo_pdvab""), Keys.chord(ARROW_DOWN))",Chrome 105.0.0.0,,,2022-09-22 11:26:54,2022-09-22 11:26:54,"0,537s",PASSED
"sendKeys(findTestObject(""Consulta y ajuste de saldo/Page_Metro de Medelln - Adquisicion - Punto de Venta -  Ajuste de Carga/select_- Seleccione - Motivo_pdvab""), Keys.chord(ENTER))",Chrome 105.0.0.0,,,2022-09-22 11:26:54,2022-09-22 11:26:55,"0,549s",PASSED
"click(findTestObject(""Consulta y ajuste de saldo/Page_Metro de Medelln - Adquisicion - Punto de Venta -  Ajuste de Carga/textarea_Caracteres restantes  1000_ctl00ContentPlaceHolder1txtDescripcion_pdvab""))",Chrome 105.0.0.0,,,2022-09-22 11:26:55,2022-09-22 11:26:56,"1,265s",PASSED
"setText(findTestObject(""Consulta y ajuste de saldo/Page_Metro de Medelln - Adquisicion - Punto de Venta -  Ajuste de Carga/textarea_Caracteres restantes  1000_ctl00ContentPlaceHolder1txtDescripcion_pdvab""), ""Prueba venta de tarjetas"")",Chrome 105.0.0.0,,,2022-09-22 11:26:56,2022-09-22 11:26:57,"0,883s",PASSED
"click(findTestObject(""Consulta y ajuste de saldo/Page_Metro de Medelln - Adquisicion - Punto de Venta -  Ajuste de Carga/input_Operador Modificacin_ctl00ContentPlaceHolder1btnConfirmar_pdvab""))",Chrome 105.0.0.0,,,2022-09-22 11:26:57,2022-09-22 11:27:00,"2,939s",PASSED
"switchToWindowUrl(""https://qabanco.civica.com.co/Civica/Includes/frmMensagem.aspx"")",Chrome 105.0.0.0,,,2022-09-22 11:27:00,2022-09-22 11:27:00,"0,217s",PASSED
"click(findTestObject(""Consulta y ajuste de saldo/Page_Metro Medelln -  Mensaje/input_Operacin efectuada con xito_btnOk_cpn""))",Chrome 105.0.0.0,,,2022-09-22 11:27:00,2022-09-22 11:27:01,"0,856s",PASSED
"switchToWindowUrl(""https://qabanco.civica.com.co/Civica/Adquisicion/PuntodeVenta/frmAjusteCargaDet.aspx?Cod=0"")",Chrome 105.0.0.0,,,2022-09-22 11:27:01,2022-09-22 11:27:01,"0,133s",PASSED
"click(findTestObject(""Consulta y ajuste de saldo/Page_Metro de Medelln - Adquisicion - Punto de Venta -  Ajuste de Carga/a_Aprobacin Ajuste de Carga_pdvab""))",Chrome 105.0.0.0,,,2022-09-22 11:27:01,2022-09-22 11:27:03,"1,523s",PASSED
"click(findTestObject(""Consulta y ajuste de saldo/Page_Metro de Medelln - Adquisicin - Pdv -  AproAju Carga/select_- Seleccione - Motivo Aprobacion_adqa""))",Chrome 105.0.0.0,,,2022-09-22 11:27:03,2022-09-22 11:27:03,"0,599s",PASSED
"sendKeys(findTestObject(""Consulta y ajuste de saldo/Page_Metro de Medelln - Adquisicin - Pdv -  AproAju Carga/select_- Seleccione - Motivo Aprobacion_adqa""), Keys.chord(ARROW_DOWN))",Chrome 105.0.0.0,,,2022-09-22 11:27:03,2022-09-22 11:27:04,"0,503s",PASSED
"sendKeys(findTestObject(""Consulta y ajuste de saldo/Page_Metro de Medelln - Adquisicin - Pdv -  AproAju Carga/select_- Seleccione - Motivo Aprobacion_adqa""), Keys.chord(ENTER))",Chrome 105.0.0.0,,,2022-09-22 11:27:04,2022-09-22 11:27:04,"0,469s",PASSED
"click(findTestObject(""Consulta y ajuste de saldo/Page_Metro de Medelln - Adquisicin - Pdv -  AproAju Carga/input__ctl00ContentPlaceHolder1btnBuscar_adqa""))",Chrome 105.0.0.0,,,2022-09-22 11:27:04,2022-09-22 11:27:06,"1,740s",PASSED
waitForPageLoad(30),Chrome 105.0.0.0,,,2022-09-22 11:27:06,2022-09-22 11:27:06,"0,299s",PASSED
"click(findTestObject(""Consulta y ajuste de saldo/Page_Metro de Medelln - Adquisicin - Pdv -  AproAju Carga/input__ctl00ContentPlaceHolder1btnBuscar_adqa""))",Chrome 105.0.0.0,,,2022-09-22 11:27:06,2022-09-22 11:27:08,"1,678s",PASSED
waitForPageLoad(30),Chrome 105.0.0.0,,,2022-09-22 11:27:08,2022-09-22 11:27:08,"0,029s",PASSED
"check(findTestObject(""Consulta y ajuste de saldo/Page_Metro de Medelln - Adquisicin - Pdv -  AproAju Carga/Aprobar_todos""))",Chrome 105.0.0.0,,,2022-09-22 11:27:08,2022-09-22 11:27:08,"0,622s",PASSED
"click(findTestObject(""Consulta y ajuste de saldo/Page_Metro de Medelln - Adquisicin - Pdv -  AproAju Carga/input_registro(s) encontrado(s)_ctl00ContentPlaceHolder1btnAprobar_adqa""))",Chrome 105.0.0.0,,,2022-09-22 11:27:08,2022-09-22 11:27:09,"0,585s",PASSED
delay(2),Chrome 105.0.0.0,,,2022-09-22 11:27:09,2022-09-22 11:27:11,"2,112s",PASSED
"click(findTestObject(""Consulta y ajuste de saldo/Page_Metro de Medelln - Adquisicin - Pdv -  AproAju Carga/select_- Seleccione - Motivo Aprobacion_adqa""))",Chrome 105.0.0.0,,,2022-09-22 11:27:11,2022-09-22 11:27:12,"0,528s",PASSED
"sendKeys(findTestObject(""Consulta y ajuste de saldo/Page_Metro de Medelln - Adquisicin - Pdv -  AproAju Carga/select_- Seleccione - Motivo Aprobacion_adqa""), Keys.chord(ENTER))",Chrome 105.0.0.0,,,2022-09-22 11:27:12,2022-09-22 11:27:12,"0,520s",PASSED
"click(findTestObject(""Consulta y ajuste de saldo/Page_Metro de Medelln - Adquisicin - Pdv -  AproAju Carga/input__ctl00ContentPlaceHolder1btnBuscar_adqa""))",Chrome 105.0.0.0,,,2022-09-22 11:27:12,2022-09-22 11:27:14,"1,318s",PASSED
waitForPageLoad(30),Chrome 105.0.0.0,,,2022-09-22 11:27:14,2022-09-22 11:27:14,"0,025s",PASSED
"click(findTestObject(""Consulta y ajuste de saldo/Page_Metro de Medelln - Adquisicin - Pdv -  AproAju Carga/input__ctl00ContentPlaceHolder1btnBuscar_adqa""))",Chrome 105.0.0.0,,,2022-09-22 11:27:14,2022-09-22 11:27:15,"1,217s",PASSED
waitForPageLoad(30),Chrome 105.0.0.0,,,2022-09-22 11:27:15,2022-09-22 11:27:15,"0,035s",PASSED
"check(findTestObject(""Consulta y ajuste de saldo/Page_Metro de Medelln - Adquisicin - Pdv -  AproAju Carga/Aprobar_todos""))",Chrome 105.0.0.0,,,2022-09-22 11:27:15,2022-09-22 11:27:15,"0,536s",PASSED
"click(findTestObject(""Consulta y ajuste de saldo/Page_Metro de Medelln - Adquisicin - Pdv -  AproAju Carga/input_registro(s) encontrado(s)_ctl00ContentPlaceHolder1btnAprobar_adqa""))",Chrome 105.0.0.0,,,2022-09-22 11:27:15,2022-09-22 11:27:16,"0,540s",PASSED
acceptAlert(),Chrome 105.0.0.0,,,2022-09-22 11:27:16,2022-09-22 11:27:16,"0,099s",PASSED
delay(3),Chrome 105.0.0.0,,,2022-09-22 11:27:16,2022-09-22 11:27:19,"3,013s",PASSED
closeBrowser(),Chrome 105.0.0.0,,,2022-09-22 11:27:19,2022-09-22 11:27:21,"1,956s",PASSED
