Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
Ajuste Credito,Chrome 105.0.0.0,,,2022-09-22 15:40:53,2022-09-22 15:46:57,"6m - 4,329s",PASSED
,,,,,,,
Test Cases/Ajuste credito - 10000,Chrome 105.0.0.0,,,2022-09-22 15:40:55,2022-09-22 15:43:00,"2m - 5,374s",PASSED
"openBrowser(""https://qabanco.civica.com.co/civica/index.aspx"")",Chrome 105.0.0.0,,,2022-09-22 15:40:56,2022-09-22 15:41:48,"51,733s",PASSED
waitForPageLoad(30),Chrome 105.0.0.0,,,2022-09-22 15:41:48,2022-09-22 15:41:49,"0,743s",PASSED
maximizeWindow(),Chrome 105.0.0.0,,,2022-09-22 15:41:49,2022-09-22 15:41:49,"0,201s",PASSED
"focus(findTestObject(""Inicio de sesion - Cívica Calidad/Inicio de sesion_Civica Calidad/input_Cdula usuario_txtLogin""))",Chrome 105.0.0.0,,,2022-09-22 15:41:49,2022-09-22 15:41:50,"1,204s",PASSED
"setText(findTestObject(""Inicio de sesion - Cívica Calidad/Inicio de sesion_Civica Calidad/input_Cdula usuario_txtLogin""), findTestData(""Usuarios/Usuarios login"").getValue(1, 1))",Chrome 105.0.0.0,,,2022-09-22 15:41:50,2022-09-22 15:41:59,"8,415s",PASSED
"focus(findTestObject(""Inicio de sesion - Cívica Calidad/Inicio de sesion_Civica Calidad/input_Contrasea_txtSena""))",Chrome 105.0.0.0,,,2022-09-22 15:41:59,2022-09-22 15:41:59,"0,536s",PASSED
"setText(findTestObject(""Inicio de sesion - Cívica Calidad/Inicio de sesion_Civica Calidad/input_Contrasea_txtSena""), findTestData(""Usuarios/Usuarios login"").getValue(2, 1))",Chrome 105.0.0.0,,,2022-09-22 15:41:59,2022-09-22 15:42:00,"0,894s",PASSED
"click(findTestObject(""Inicio de sesion - Cívica Calidad/Inicio de sesion_Civica Calidad/input_Contrasea_btnOk""))",Chrome 105.0.0.0,,,2022-09-22 15:42:00,2022-09-22 15:42:06,"6,485s",PASSED
